name,link,star,review,address
couleur 【クルール】,https://beauty.hotpepper.jp/slnH000297094/,4.78,（26件）,石川県金沢市田上さくら３丁目１３番地
eto,https://beauty.hotpepper.jp/slnH000495223/,4.97,（83件）,石川県金沢市高岡町22-5
Cross 【クロス】,https://beauty.hotpepper.jp/slnH000410794/,4.67,（13件）,石川県金沢市もりの里１-49
ａｌａｍａｎａ,https://beauty.hotpepper.jp/slnH000253389/,4.97,（77件）,石川県金沢市長町１丁目１－６１丸和ビル２Ｆ
like better,https://beauty.hotpepper.jp/slnH000646964/,4.84,（31件）,石川県金沢市片町１丁目１２－２６サイマルビル２F
MAEDA hair salon,https://beauty.hotpepper.jp/slnH000485232/,5.00,（13件）,石川県金沢市兼六元町3ー2
hair&make SNIP【スニップ】,https://beauty.hotpepper.jp/slnH000326448/,4.97,（140件）,石川県金沢市もりの里１丁目１９２
Hair salon TANAKA,https://beauty.hotpepper.jp/slnH000714346/,5.00,（2件）,石川県金沢市中央通町２－８
seata,https://beauty.hotpepper.jp/slnH000371544/,4.85,（69件）,石川県金沢市田上の里２-１３０番地
SPACE hair design【スペースヘアデザイン】,https://beauty.hotpepper.jp/slnH000259076/,,（4件）,石川県金沢市新竪町３-130-1
so-Life　【ソーライフ】,https://beauty.hotpepper.jp/slnH000584270/,4.60,（46件）,石川県金沢市小立野４－１８－２０
美容プラーナ 金沢田上店,https://beauty.hotpepper.jp/slnH000729714/,,,石川県金沢市田上本町４－２００
Lamp hair,https://beauty.hotpepper.jp/slnH000369227/,5.00,（11件）,石川県金沢市もりの里３-１６３
K A T Z H A I R,https://beauty.hotpepper.jp/slnH000246155/,5.00,（27件）,石川県金沢市池田町三番丁２７　２Ｆ
ヘアエクステ専門店coco extension香林坊店,https://beauty.hotpepper.jp/slnH000643359/,5.00,（4件）,石川県金沢市広坂１－１－５０ステアーズイン広坂３F
カラー＆ヘッドスパ専門店 E’CLAT【エクラ】,https://beauty.hotpepper.jp/slnH000719250/,5.00,（3件）,石川県金沢市田上の里２丁目２－５８アクティブリーフ１棟１０１
hair dresser's Mum 【マム】,https://beauty.hotpepper.jp/slnH000320025/,4.73,（391件）,石川県金沢市茨木町５６－３ 鞍月舎１－D
6 ETHAN BARBER PROJECT,https://beauty.hotpepper.jp/slnH000189364/,4.67,（5件）,石川県金沢市長町２-3-12
mod's hair 金沢店 【モッズ・ヘア】,https://beauty.hotpepper.jp/slnH000236834/,4.94,（69件）,石川県金沢市片町１－３－１５ 砂場ビル２Ｆ
Ｐｅｔｉｔ　Ｐａｓ,https://beauty.hotpepper.jp/slnH000221996/,4.85,（23件）,石川県金沢市幸町2-2　幸町スカイハイツ1Ｆ
理容プラーナ 金沢田上店,https://beauty.hotpepper.jp/slnH000758209/,,,石川県金沢市田上本町４－２００
とこtoco,https://beauty.hotpepper.jp/slnH000474784/,4.00,（13件）,石川県金沢市田上町神４１
Alter,https://beauty.hotpepper.jp/slnH000622909/,4.96,（181件）,石川県金沢市里見町４２－９　里見町apartment１０１
set salon HEADZ【セットサロン　ヘッズ】,https://beauty.hotpepper.jp/slnH000497547/,4.66,（60件）,石川県金沢市片町１-12-18
ヘアセットサロンEdge,https://beauty.hotpepper.jp/slnH000324032/,5.00,（8件）,石川県金沢市大工町30-1　高木ビル１F
みどり美粧院,https://beauty.hotpepper.jp/slnH000399296/,4.88,（31件）,石川県金沢市高岡町10-4
メンズサロン　 an-ciel【アンシェル】,https://beauty.hotpepper.jp/slnH000638247/,4.97,（36件）,石川県金沢市広坂１丁目１-５０　ステアーズイン広坂３F
hauto【ハウト】,https://beauty.hotpepper.jp/slnH000702243/,4.97,（31件）,石川県金沢市三口新町１-５-１メゾン・アグリーアップル１FB
DEW POINT 大桑店,https://beauty.hotpepper.jp/slnH000228788/,,,石川県金沢市大桑３丁目114　バロー金沢大桑店内
Ｂｌｏｏｍ　ｂｅａｕｔｙ　ｂａｒ　【ブルーム ビューティー バー】,https://beauty.hotpepper.jp/slnH000444708/,4.50,（14件）,石川県金沢市長町２-５-４　１０ミニッツウォークビル１Ｆ
ViBliss,https://beauty.hotpepper.jp/slnH000552387/,,,石川県金沢市もりの里２-160 アネスパ１F
BLOOM【ブルーム】,https://beauty.hotpepper.jp/slnH000410859/,,,石川県金沢市田上の里１-36
Hair make egg by 246【ヘアメイク エッグ】,https://beauty.hotpepper.jp/slnH000443905/,4.60,（125件）,石川県金沢市桜町19-19
beauriche,https://beauty.hotpepper.jp/slnH000213560/,5.00,（2件）,石川県金沢市高岡町２２-１２
SAMSON＆DELILA　JL,https://beauty.hotpepper.jp/slnH000537923/,4.67,（22件）,石川県金沢市若松町２丁目18
Ｃａｆｕｎｅ’金沢【カフネ】　髪質改善＆韓国へア特化サロン,https://beauty.hotpepper.jp/slnH000692049/,5.00,（6件）,石川県金沢市田上の里２-１３０
RED　CUBE,https://beauty.hotpepper.jp/slnH000135769/,5.00,（21件）,石川県金沢市田上本町３丁目76番
"""CANDY CROSSOVER""produce by ENTRUST【キャンディ クロスオーバー】",https://beauty.hotpepper.jp/slnH000488957/,,,石川県金沢市田上本町３丁目80番地1TAGAMIマンションA店舗001F
hairsalon midi,https://beauty.hotpepper.jp/slnH000445799/,5.00,（2件）,石川県金沢市尾張町２丁目8-18
hair design kigou【キゴウ】,https://beauty.hotpepper.jp/slnH000420503/,4.50,（26件）,石川県金沢市田上本町３丁目80番地1ＴＫ7（ＴＡＧＡＭＩマンションＡ）Ｄ号室
Eimmy,https://beauty.hotpepper.jp/slnH000523700/,5.00,（3件）,石川県金沢市田上本町３丁目185
Tiara by ＧｙａＬｏ,https://beauty.hotpepper.jp/slnH000055628/,,,石川県金沢市竪町95 加藤ビル４Ｆ
KAMIO Via　【カミオ ヴィア】,https://beauty.hotpepper.jp/slnH000288604/,,,石川県金沢市田上さくら１丁目132
Ｏｎｅ　Ｓｔｏｐ　Ｂｅａｕｔｙ　Ｄｉｌｇａ　－ディルガ－,https://beauty.hotpepper.jp/slnH000226332/,,（1件）,石川県金沢市もりの里１-70 　イオン杜の里　１F
